theta,dv_kms,min_rM,min_corridor_dist,min_rE_postflyby,term_reason,success,ballistic_tli_corridor_hit,tli_theta,spawn_theta,dv_used,dv0,row_index,scenario_class
3.998390650023373,3.120289855072464,0.0423682306153545,0.0004509201811718,0.0138490798188281,earth_impact,True,False,-2.189354835915301,3.998390650023373,3.0456107014130813,3.0456107014130813,3863,savable
3.998390650023373,3.108695652173913,0.0677140688798004,0.0004621498242674,0.0138378501757325,earth_impact,True,False,-2.1894568813806328,3.998390650023373,3.03429398724155,3.03429398724155,3663,savable
4.0618571682777125,3.108695652173913,0.0738738764498747,0.000821239175024,0.0134787608249759,earth_impact,True,False,-2.1259903631175088,4.0618571682777125,3.03429398724155,3.03429398724155,3664,savable
4.125323686532052,3.097101449275362,0.0754032659332039,0.0017612015278105,0.0125387984721894,earth_impact,True,False,-2.062625892313055,4.125323686532052,3.0229772730700213,3.0229772730700213,3465,savable
3.998390650023373,3.114492753623188,0.0513381505538148,0.0018392569330304,0.0124607430669695,earth_impact,True,False,-2.189405858398246,3.998390650023373,3.039952344327316,3.039952344327316,3763,savable
4.0618571682777125,3.1028985507246376,0.0442529724835143,0.0021840381869553,0.0121159618130446,earth_impact,True,False,-2.1260413865990806,4.0618571682777125,3.028635630155786,3.028635630155786,3564,savable
4.506122796058087,3.0913043478260867,0.0851130991607164,0.0117582325489082,0.0717582325489082,timeout,False,False,-1.6818778071350124,4.506122796058087,3.0173189159842555,3.0173189159842555,3371,savable
3.8714576135146954,3.097101449275362,0.0766530470062788,,,invalid_preflyby_earth_return,False,False,-2.316491965358295,3.8714576135146954,3.0229772730700213,3.0229772730700213,3461,savable
4.3791897595494085,3.079710144927536,0.0812227871314627,,,invalid_preflyby_earth_return,False,False,-1.8089128941497257,4.3791897595494085,3.0060022018127266,3.0060022018127266,3169,savable
4.125323686532052,3.0739130434782607,0.0912049010264692,,,invalid_preflyby_earth_return,False,False,-2.0628299932191188,4.125323686532052,3.0003438447269604,3.0003438447269604,3065,savable
4.442656277803748,3.079710144927536,0.092366618058449,,,invalid_preflyby_earth_return,False,False,-1.7454463758698393,4.442656277803748,3.0060022018127257,3.0060022018127257,3170,savable
4.6330558325667655,3.085507246376812,0.0948921332476629,,,invalid_preflyby_earth_return,False,False,-1.5549957955463602,4.6330558325667655,3.0116605588984906,3.0116605588984906,3273,savable
4.0618571682777125,3.0739130434782607,0.1014936252028937,,,invalid_preflyby_earth_return,False,False,-2.126296511485633,4.0618571682777125,3.0003438447269604,3.0003438447269604,3064,savable
4.696522350821105,3.085507246376812,0.108856064744247,,,invalid_preflyby_earth_return,False,False,-1.4915292772625663,4.696522350821105,3.011660558898491,3.011660558898491,3274,savable
4.25225672304073,3.0739130434782607,0.1093678056821986,,,invalid_preflyby_earth_return,False,False,-1.935896956676644,4.25225672304073,3.0003438447269604,3.0003438447269604,3067,savable
3.807991095260356,3.1028985507246376,0.1142194624671793,,,invalid_preflyby_earth_return,False,False,-2.379907459630203,3.807991095260356,3.0286356301557857,3.0286356301557857,3560,savable
3.807991095260356,3.097101449275362,0.1165114185807158,,,invalid_preflyby_earth_return,False,False,-2.3799584836106917,3.807991095260356,3.0229772730700204,3.0229772730700204,3460,savable
4.188790204786391,3.0739130434782607,0.1170673785134118,,,invalid_preflyby_earth_return,False,False,-1.9993634749493787,4.188790204786391,3.0003438447269604,3.0003438447269604,3066,savable
3.807991095260356,3.108695652173913,0.1173347939993496,,,invalid_preflyby_earth_return,False,False,-2.3798564361486387,3.807991095260356,3.03429398724155,3.03429398724155,3660,savable
4.3157232412950695,3.0739130434782607,0.132642493496878,,,invalid_preflyby_earth_return,False,False,-1.8724304384011907,4.3157232412950695,3.0003438447269604,3.0003438447269604,3068,savable
4.759988869075444,3.085507246376812,0.1374522520463404,,,invalid_preflyby_earth_return,False,False,-1.4280627589789492,4.759988869075444,3.01166055889849,3.01166055889849,3275,savable
4.506122796058087,3.079710144927536,0.1386092078909942,,,invalid_preflyby_earth_return,False,False,-1.6819798575883167,4.506122796058087,3.0060022018127257,3.0060022018127257,3171,savable
4.0618571682777125,3.068115942028985,0.1425094500827561,,,invalid_preflyby_earth_return,False,False,-2.126347537956872,4.0618571682777125,2.994685487641195,2.994685487641195,2964,savable
4.125323686532052,3.068115942028985,0.1456704944967988,,,invalid_preflyby_earth_return,False,False,-2.0628810196903595,4.125323686532052,2.9946854876411955,2.9946854876411955,2965,savable
