theta,dv_kms,min_rM,min_corridor_dist,min_rE_postflyby,term_reason,success,ballistic_tli_corridor_hit,tli_theta,spawn_theta,dv_used,dv0,row_index,scenario_class
4.886921905584122,3.097101449275362,0.0701599856432095,0.0407459734898953,0.1007459734898953,timeout,False,False,-1.3010276729573869,4.886921905584122,3.0229772730700213,3.0229772730700213,3477,bad
4.125323686532052,3.0913043478260867,0.0882991414186445,0.0591672213225028,0.1191672213225028,timeout,False,False,-2.0626769167922188,4.125323686532052,3.0173189159842555,3.0173189159842555,3365,bad
4.569589314312426,3.0913043478260867,0.0295608745037916,0.0747779163473038,0.1347779163473038,timeout,False,False,-1.618411288852278,4.569589314312426,3.0173189159842555,3.0173189159842555,3372,bad
4.3157232412950695,3.079710144927536,0.0650718493556297,0.1398140206498724,0.1998140206498724,timeout,False,False,-1.872379412427577,4.3157232412950695,3.006002201812726,3.006002201812726,3168,bad
4.569589314312426,3.085507246376812,0.044612733880864,0.2435908262419349,0.3035908262419349,timeout,False,False,-1.6184623138298562,4.569589314312426,3.01166055889849,3.01166055889849,3272,bad
4.6330558325667655,3.0913043478260867,0.0704677257820681,0.3486216455730107,0.4086216455730107,timeout,False,False,-1.554944770568782,4.6330558325667655,3.017318915984256,3.017318915984256,3373,bad
4.25225672304073,3.079710144927536,0.0516128546528476,0.6271399407640574,0.6871399407640575,timeout,False,False,-1.935845930703032,4.25225672304073,3.0060022018127257,3.0060022018127257,3167,bad
3.998390650023373,3.126086956521739,0.0447065936984437,0.7607964553310844,0.8207964553310845,timeout,False,False,-2.189303813932056,3.998390650023373,3.0512690584988467,3.0512690584988467,3963,bad
3.934924131769034,3.1492753623188405,0.10214468374379,0.787293536318231,0.847293536318231,timeout,False,False,-2.25256624926086,3.934924131769034,3.073902486841907,3.073902486841907,4362,bad
4.0618571682777125,3.079710144927536,0.0861979231554107,0.8480030382753057,0.9080030382753056,timeout,False,False,-2.126245485512025,4.0618571682777125,3.006002201812726,3.006002201812726,3164,bad
4.188790204786391,3.079710144927536,0.065876032660341,0.8796333216208321,0.939633321620832,timeout,False,False,-1.999312448975768,4.188790204786391,3.0060022018127257,3.0060022018127257,3166,bad
3.8714576135146954,3.155072463768116,0.0556194516954321,0.8849494193405314,0.9449494193405314,escape,False,False,-2.3159817480360165,3.8714576135146954,3.079560843927673,3.079560843927673,4461,bad
3.934924131769034,3.1028985507246376,0.0463496320969064,0.8945555195794346,0.9545555195794344,escape,False,False,-2.2529744231218,3.934924131769034,3.028635630155786,3.028635630155786,3562,bad
4.0618571682777125,3.085507246376812,0.0552277895270228,0.8954926930285811,0.9554926930285812,escape,False,False,-2.126194460036308,4.0618571682777125,3.011660558898491,3.011660558898491,3264,bad
3.8714576135146954,3.160869565217391,0.041427622129163,0.8988082745383186,0.9588082745383184,escape,False,False,-2.3159307290564044,3.8714576135146954,3.0852192010134374,3.0852192010134374,4561,bad
4.125323686532052,3.079710144927536,0.0438074401403451,0.9086634492468446,0.9686634492468446,timeout,False,False,-2.062778967245509,4.125323686532052,3.006002201812726,3.006002201812726,3165,bad
3.998390650023373,3.085507246376812,0.0418648102781249,0.9117765836417012,0.9717765836417014,timeout,False,False,-2.1896609782994245,3.998390650023373,3.011660558898491,3.011660558898491,3263,bad
3.8714576135146954,3.1666666666666665,0.0281154406303672,0.9130529933970316,0.9730529933970316,escape,False,False,-2.315879710578302,3.8714576135146954,3.0908775580992023,3.0908775580992023,4661,bad
3.934924131769034,3.108695652173913,0.0192441310133402,0.9212562888432044,0.9812562888432044,escape,False,False,-2.252923399640232,3.934924131769034,3.03429398724155,3.03429398724155,3662,bad
3.934924131769034,3.172463768115942,0.051069864762936,0.9219635721350076,0.9819635721350076,escape,False,False,-2.25236217434594,3.934924131769034,3.096535915184968,3.096535915184968,4762,bad
3.8714576135146954,3.108695652173913,0.0596266453763829,0.9263852972869392,0.9863852972869394,timeout,False,False,-2.3163899178962386,3.8714576135146954,3.034293987241551,3.034293987241551,3661,bad
4.759988869075444,3.0913043478260867,0.05057946876822,0.9278042582418982,0.987804258241898,timeout,False,False,-1.4280117340013714,4.759988869075444,3.0173189159842555,3.0173189159842555,3375,bad
3.8714576135146954,3.172463768115942,0.0179398941663334,0.928261840976612,0.9882618409766122,escape,False,False,-2.315828692601968,3.8714576135146954,3.096535915184968,3.096535915184968,4761,bad
4.0618571682777125,3.0913043478260867,0.004106787495035,0.93113271428944,0.9911327142894398,moon_impact,False,False,-2.1261434350587383,4.0618571682777125,3.0173189159842555,3.0173189159842555,3364,bad
4.188790204786391,3.085507246376812,0.0044023503379936,0.93381725210236,0.99381725210236,moon_impact,False,False,-1.9992614235000468,4.188790204786391,3.0116605588984906,3.0116605588984906,3266,bad
3.934924131769034,3.178260869565217,0.0412124172618408,0.9349320422757056,0.9949320422757056,escape,False,False,-2.252311156871629,3.934924131769034,3.1021942722707325,3.1021942722707325,4862,bad
4.442656277803748,3.085507246376812,0.0076049024919744,0.9355046150169142,0.995504615016914,timeout,False,False,-1.7453953503941135,4.442656277803748,3.0116605588984906,3.0116605588984906,3270,bad
3.8714576135146954,3.178260869565217,0.0180156780805353,0.9446837787850048,1.004683778785005,escape,False,False,-2.3157776751276598,3.8714576135146954,3.1021942722707325,3.1021942722707325,4861,bad
3.934924131769034,3.1840579710144925,0.0345383925143764,0.9477517399922076,1.0077517399922078,escape,False,False,-2.252260139899604,3.934924131769034,3.1078526293564983,3.1078526293564983,4962,bad
3.8714576135146954,3.114492753623188,0.0659064741044673,0.9531618288053528,1.0131618288053528,escape,False,False,-2.3163388949138555,3.8714576135146954,3.0399523443273164,3.0399523443273164,3761,bad
4.506122796058087,3.085507246376812,0.0839643612974243,0.9569279041411984,1.0169279041411985,timeout,False,False,-1.6819288321125905,4.506122796058087,3.011660558898491,3.011660558898491,3271,bad
3.934924131769034,3.114492753623188,0.0198107001607368,0.9594925207656856,1.0194925207656858,escape,False,False,-2.252872376657847,3.934924131769034,3.0399523443273164,3.0399523443273164,3762,bad
3.934924131769034,3.189855072463768,0.0329244890669566,0.9602404651298492,1.0202404651298491,escape,False,False,-2.252209123430122,3.934924131769034,3.113510986442263,3.113510986442263,5062,bad
3.8714576135146954,3.1840579710144925,0.0279123957888098,0.9604550275735276,1.0204550275735276,escape,False,False,-2.3157266581556355,3.8714576135146954,3.1078526293564983,3.1078526293564983,4961,bad
3.934924131769034,3.0913043478260867,0.095712542161314,0.9680968880458628,1.028096888045863,timeout,False,False,-2.2530764715814504,3.934924131769034,3.0173189159842555,3.0173189159842555,3362,bad
3.998390650023373,3.0913043478260867,0.0453238821169853,0.9715452387896923,1.0315452387896924,escape,False,False,-2.189609953321857,3.998390650023373,3.0173189159842555,3.0173189159842555,3363,bad
3.934924131769034,3.1956521739130435,0.0368763337622777,0.9722260136298364,1.0322260136298365,escape,False,False,-2.2521581074634405,3.934924131769034,3.1191693435280285,3.1191693435280285,5162,bad
3.8714576135146954,3.189855072463768,0.0404463131094616,0.9751143625939924,1.0351143625939925,escape,False,False,-2.3156756416861555,3.8714576135146954,3.113510986442263,3.113510986442263,5061,bad
3.8714576135146954,3.120289855072464,0.0796594112515309,0.9797155767321448,1.0397155767321449,escape,False,False,-2.316287872430914,3.8714576135146954,3.0456107014130813,3.0456107014130813,3861,bad
3.934924131769034,3.2014492753623185,0.0447686912888053,0.9837455116496456,1.0437455116496457,escape,False,False,-2.2521070919998194,3.934924131769034,3.124827700613793,3.124827700613793,5262,bad
3.8714576135146954,3.1956521739130435,0.0534691249478976,0.9890070536383262,1.0490070536383262,escape,False,False,-2.3156246257194764,3.8714576135146954,3.119169343528028,3.119169343528028,5161,bad
3.998390650023373,3.131884057971014,0.0562875032987082,0.9933074139608062,1.0533074139608063,timeout,False,False,-2.189252792448769,3.998390650023373,3.056927415584611,3.056927415584611,4063,bad
3.934924131769034,3.207246376811594,0.0547839156573246,0.9949442197908892,1.0549442197908894,escape,False,False,-2.2520560770395166,3.934924131769034,3.1304860576995583,3.1304860576995583,5362,bad
3.8714576135146954,3.2014492753623185,0.0665176386697084,1.00234212617364,1.06234212617364,escape,False,False,-2.315573610255857,3.8714576135146954,3.124827700613793,3.124827700613793,5261,bad
4.125323686532052,3.085507246376812,0.0659753681391559,1.004838885008294,1.0648388850082942,escape,False,False,-2.062727941769789,4.125323686532052,3.0116605588984906,3.0116605588984906,3265,bad
3.8714576135146954,3.126086956521739,0.0973456618354689,1.0056589585742135,1.0656589585742136,escape,False,False,-2.316236850447673,3.8714576135146954,3.0512690584988467,3.0512690584988467,3961,bad
