theta,dv_kms,min_rM,min_corridor_dist,min_rE_postflyby,term_reason,success,ballistic_tli_corridor_hit,tli_theta,spawn_theta,dv_used,dv0,row_index,scenario_class
0.0,2.9,0.9824418350005972,,,invalid_preflyby_earth_return,False,False,2.4934236710790265,0.0,2.8305931321540063,0.0,0,bad
0.0634665182543392,2.9,0.9825841117451594,,,invalid_preflyby_earth_return,False,False,2.556890177863808,0.0634665182543392,2.8305931321540063,0.0,1,bad
0.1269330365086785,2.9,0.9827977414344028,,,invalid_preflyby_earth_return,False,False,2.6203566406701198,0.1269330365086785,2.8305931321540063,0.0,2,bad
0.1903995547630178,2.9,0.9830818176831284,,,invalid_preflyby_earth_return,False,False,2.683823060765761,0.1903995547630178,2.8305931321540068,0.0,3,bad
0.253866073017357,2.9,0.983435136145621,,,invalid_preflyby_earth_return,False,False,2.7472894399744447,0.253866073017357,2.8305931321540063,0.0,4,bad
0.3173325912716963,2.9,0.9838562004006476,,,invalid_preflyby_earth_return,False,False,2.8107557806432677,0.3173325912716963,2.8305931321540063,0.0,5,bad
0.3807991095260356,2.9,0.9843432292370372,,,invalid_preflyby_earth_return,False,False,2.87422208560558,0.3807991095260356,2.8305931321540068,0.0,6,bad
0.4442656277803748,2.9,0.984894165287406,,,invalid_preflyby_earth_return,False,False,2.9376883581396425,0.4442656277803748,2.8305931321540063,0.0,7,bad
0.5077321460347141,2.9,0.9855066849486184,,,invalid_preflyby_earth_return,False,False,3.001154601923619,0.5077321460347141,2.8305931321540063,0.0,8,bad
0.5711986642890533,2.9,0.9861782095194008,,,invalid_preflyby_earth_return,False,False,3.064620820987287,0.5711986642890533,2.8305931321540063,0.0,9,bad
0.6346651825433925,2.9,0.9869059174782387,,,invalid_preflyby_earth_return,False,False,3.12808701966095,0.6346651825433925,2.8305931321540063,0.0,10,bad
0.6981317007977318,2.9,0.9876867578183508,,,invalid_preflyby_earth_return,False,False,-3.09163210465762,0.6981317007977318,2.8305931321540068,0.0,11,bad
0.7615982190520711,2.9,0.9885174643512226,,,invalid_preflyby_earth_return,False,False,-3.028165932840242,0.7615982190520711,2.8305931321540068,0.0,12,bad
0.8250647373064104,2.9,0.9893945708858736,,,invalid_preflyby_earth_return,False,False,-2.964699767162756,0.8250647373064104,2.8305931321540068,0.0,13,bad
0.8885312555607496,2.9,0.9903144271877932,,,invalid_preflyby_earth_return,False,False,-2.9012336026446808,0.8885312555607496,2.8305931321540063,0.0,14,bad
